matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
445215,EA WINDING-2015                              ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445216,EA END CONNECTION-2015                       ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445217,EA PAPER CUTTING-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445218,COIL FORMING KIT-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445301,CP ASSEMBLY-2015                             ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445302,E STACK-2015                                 ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445303,I STACK-2015                                 ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445304,COMPOUNDING SECONDARY-2015-45kva             ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445305,COMPOUNDING PRIMARY-2015-45kva               ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445306,PLATE-2015                                   ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445307,BRIDGE RECTIFIER-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445308,COMPOUNDING TRANSFORMER WIRING-2015          ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445309,MISCELLENEOUS-2015                           ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445310,INSULATOR-2015                               ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445311,PCLIP-2015                                   ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
445400,ASSEMBLED ALTERNATOR-2015-45kva  DB          ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445401,PAINTING AND FINISHING KIT-2015              ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445402,DESPATCH KIT-2015                            ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445403,STATOR ASSMBLY KIT-2015                      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445404,ROTOR ASSEMBLY KIT-2015                      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445405,CP + NDE ASSEMBLING KIT-2015                 ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445406,ALTERNATOR COVERS KIT-2015                   ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445407,WIRING KIT-2015-45kva                        ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445408,NDE BRACKET KIT-2015                         ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445409,DE BRACKET KIT-2015                          ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445410,INNERCAP DE/OUTER CAP DE KIT-2015            ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445411,BALL BEARING DE KIT-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445412,BALL BAERING NDE KIT-2015                    ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
